title,price,image
"Daewoo Matiz M250 [рестайлинг] Хетчбэк , 2008",5$ ,https://i.cars.kg/preview/r/5PPXJYUs3GCqraatBiPldg/1080x-/20221114/a00d1b8e221ab5e94a1f3a696aba086f.jpg
"Hyundai Santa Fe DM [рестайлинг] Premium кроссовер , 2016",26500$ ,https://i.cars.kg/preview/r/plOggCUMgyLG0ryrczy15g/1080x-/20221121/fbddcdb5a4f0b2f5ac706e475c35b853.jpeg
"ВАЗ (Lada) 2107 1 поколение Седан , 2010",8000$ ,https://i.cars.kg/preview/r/Bz4hTihU7nbyTEq0eB6ljg/1080x-/20221120/4b15117ddad1719a60aa82330339bb45.jpeg
"Lexus GS 3 поколение Седан , 2008",14500$ ,https://i.cars.kg/preview/r/Nkl1tLN_ArSTw-5WiGI40g/1080x-/20221117/d0c9c37a470e2657e9da58b897612cd2.jpg
"Toyota Camry , 2019",32500$ ,https://i.cars.kg/preview/r/atJpV_P7wf_VPP3Skz4H8w/1080x-/20221116/7ca2c4d7a052840e548488560b15f9e2.jpg
"Dodge Ram 4 поколение , 2016",45000$ ,https://i.cars.kg/preview/r/_yYMCFqQxJe0DQaanV-QTg/1080x-/20221121/d91cd8631fa934043b4a55d48e68894c.jpg
"Hyundai , 2010",9500$ ,https://i.cars.kg/preview/r/o7EqNSktGX1871kgYR1fpQ/1080x-/20221121/f8a68bc324429149f65e0f4958714f45.jpg
"Honda Accord 7 поколение Седан , 2005",9700$ ,https://i.cars.kg/preview/r/_7VX-jtuBlEGsCffS5woFA/1080x-/20221121/9dc2dc24cf348594158d03162bc9a7ba.jpg
"Toyota Prius 4 поколение Хетчбэк , 2016",16000$ ,https://i.cars.kg/preview/r/U6hKqw69mbiucmQ2Q-fbng/1080x-/20221121/c805f4fcdc3fc51d4acdfaa4060b687c.jpeg
"Toyota Avensis 2 поколение Универсал , 2004",7500$ ,https://i.cars.kg/preview/r/0u9VYxdWbvJQ88ou0VYmAg/1080x-/20221121/e186b0eff8b35d6829e3078d45e6144a.jpg
"Toyota Camry XV50 [рестайлинг] Седан , 2021",35000$ ,https://i.cars.kg/preview/r/P0JXyL76Fh4DSkRH0fRgAQ/1080x-/20221121/b63c680339a9717fbe7444bd5898dafa.jpg
"Mercedes-Benz E-Класс W210/S210 [рестайлинг] Седан , 2001",8300$ ,https://i.cars.kg/preview/r/xE6wFR9Q58dnTUvZ_It-cQ/1080x-/20221120/55bedf2a833fa5f5a96bbdf1aa5d0798.jpg
"Mazda Demio 1 поколение [рестайлинг] Хетчбэк , 2003",4737$ ,https://i.cars.kg/preview/r/PelVivhuen_qYWD9owpo8g/1080x-/20221120/e1b4968a096687165040a0ffacdbbef5.jpg
"Mercedes-Benz E-Класс W210/S210 [рестайлинг] Седан , 1999",8500$ ,https://i.cars.kg/preview/r/bDYQYURGWvCN3L_lJJpmOA/1080x-/20221120/6c556285e13065293511fe801843ced8.jpg
"Toyota Camry XV30 Седан , 2003",11700$ ,https://i.cars.kg/preview/r/UHuAbdYtKhs6gNkzBIY1Ew/1080x-/20221120/f899ba895c8cc20b7b63d146537bbb5c.jpg
"Toyota Sequoia 2 поколение Внедорожник , 2016",47500$ ,https://i.cars.kg/preview/r/PEdVz1gN9_2UXoMGECn4Vg/1080x-/20221120/8015ca160bbc1a2629601e3186d22059.jpg
"Land Rover Range Rover Sport 1 поколение [рестайлинг] Внедорожник , 2010",21700$ ,https://i.cars.kg/preview/r/KAQa3NWtrLANdpus_46-Xw/1080x-/20221120/cb2c5bf2a9fe13c8f0704245b6550ca1.jpg
"Lexus RX 1 поколение Кроссовер , 2001",11500$ ,https://i.cars.kg/preview/r/KYTZpkv7usSL69LJKpdKUA/1080x-/20221120/c56359b32ae762fb50c47e64bed61a82.jpg
"Toyota Camry XV50 [рестайлинг] Седан , 2017",20000$ ,https://i.cars.kg/preview/r/ADR-jct7mBDxT6U6CR-b3w/1080x-/20221120/7f0817d99a551d0a45ac261ff9fd7feb.jpg
"Nissan Pathfinder R51 Внедорожник , 2005",11000$ ,https://i.cars.kg/preview/r/t0GfjrF82cTGqUK961KwDA/1080x-/20221120/227f6f032ec05fccc4998fde6518f257.jpg
"Toyota Camry XV50 Седан 4-дв. , 2012",18500$ ,https://i.cars.kg/preview/r/3Tb8Ni_GjL6HvNVDiz2NxQ/1080x-/20221120/8557396cc06354d67facab941e83fcbe.webp
"Toyota Altezza XE10 Седан , 2002",7499$ ,https://i.cars.kg/preview/r/3ubpzJU1nKcuQPfrCJyWDw/1080x-/20221120/556e9c80b7ac6f8147976fac130d3bbd.jpg
"Mercedes-Benz Sprinter , 2001",8500$ ,https://i.cars.kg/preview/r/41r9IGGW1NFnAcsy6xrSTA/1080x-/20221120/192a9dc132dd3f47e9eec55cd17bd07d.jpg
"Ford Fiesta 6 поколение [рестайлинг] Хетчбэк 5-дв. , 2018",10300$ ,https://i.cars.kg/preview/r/hAKmcYpqqMZ8WWPTr5nDpQ/1080x-/20221120/87ec4494ba016f13cd65bc5336fc7106.jpg
"Toyota Ipsum 2 поколение Минивэн , 2003",8700$ ,https://i.cars.kg/preview/r/MAE2yrE6jnKUX__4Ion4dg/1080x-/20221120/413fb686648a92894655f67556672e9f.jpg
"Subaru Legacy 3 поколение Седан , 1999",4300$ ,https://i.cars.kg/preview/r/jhHpld9O8Mo3y4LVSD_EUg/1080x-/20221120/19b6772b9e7ee3c5d72807c6b2875682.jpg
"Audi A4 B5 Седан , 1997",3079$ ,https://i.cars.kg/preview/r/Lgi92Kdb_x386d-cbPCGfg/1080x-/20221120/487bc6ca3c5c4f65c52f7f067e062f68.jpg
"Toyota Sienna 3 поколение Минивэн 5-дв. , 2015",30700$ ,https://i.cars.kg/preview/r/Q7yFiDRF9DaFrUZeqUMq0A/1080x-/20221120/be91734a7ee6be1915f97be669038428.jpg
"Toyota Avensis , 2001",5700$ ,https://i.cars.kg/preview/r/bqP1qMUySrVruKtfpJpEaQ/1080x-/20221120/9ddb36a2447669f6ff8f08b282cefd64.jpg
"Toyota Corolla E170 [рестайлинг] Седан , 2016",14500$ ,https://i.cars.kg/preview/r/ECO2tq0OY_IzlnKWY2PILw/1080x-/20221120/059822f1a8e65b175b9d087c8ed86e3a.jpeg
